city_name,latitude,longitude,capital,population,country_id
Quanzhou,24.9139,118.5858,0,8782285,35.0
Chicago,41.8375,-87.6866,0,8595181,
Nanjing,32.0608,118.7789,0,8422000,35.0
Jining,35.4,116.5667,0,8357897,35.0
Hanoi,21.0283,105.8542,1,8246600,148.0
Pune,18.5203,73.8567,0,8231000,
Fuyang,32.8986,115.8045,0,8200264,35.0
Ahmedabad,23.03,72.58,0,8009000,
Johannesburg,-26.2044,28.0456,0,8000000,
Bogota,4.7111,-74.0722,1,7968095,36.0
Shenyang,41.8025,123.4281,0,7964000,35.0
Khartoum,15.5006,32.56,1,7869000,128.0
Shangqiu,34.4259,115.6467,0,7816831,35.0
Cangzhou,38.3037,116.8452,0,7544300,35.0
Hong kong,22.3,114.2,1,7450000,63.0
Shaoyang!,27.2418,111.4725,0,7370500,35.0
Zhanjiang,21.1967,110.4031,0,7332000,35.0
Yancheng,33.3936,120.1339,0,7260240,35.0
Hengyang,26.8968,112.5857,0,7243400,35.0
Riyadh,24.6333,46.7167,1,7237000,117.0
Zhumadian,32.9773,114.0253,0,7231234,35.0
Santiago,-33.4372,-70.6506,1,7171000,34.0
Xingtai,37.0659,114.4753,0,7111106,35.0
Chattogram,22.335,91.8325,0,7000000,15.0
Bijie,27.3019,105.2863,0,6899636,35.0
Shangrao,28.4419,117.9633,0,6810700,35.0
Zunyi,27.705,106.9336,0,6606675,35.0
Surat,21.1702,72.8311,0,6538000,
Surabaya,-7.2458,112.7378,0,6499000,66.0
Huanggang,30.45,114.875,0,6333000,35.0
Maoming,21.6618,110.9178,0,6313200,35.0
Nanchong,30.7991,106.0784,0,6278614,35.0
Xinyang,32.1264,114.0672,0,6234401,35.0
Madrid,40.4169,-3.7033,1,6211000,
Baghdad,33.3153,44.3661,1,6183000,68.0
Qujing,25.5102,103.8029,0,6155400,35.0
Jieyang,23.5533,116.3649,0,6089400,35.0
Singapore,1.3,103.8,1,5983000,121.0
Prayagraj,25.4358,81.8464,0,5954391,
Liaocheng,36.45,115.9833,0,5952128,35.0
Dalian,38.9,121.6,0,5871474,35.0
Yulin,22.6293,110.1507,0,5849700,35.0
Changde,29.0397,111.6839,0,5827200,35.0
Qingdao,36.1167,120.4,0,5818255,35.0
Douala,4.05,9.7,0,5768400,31.0
Miami,25.784,-80.2101,0,5711945,
Nangandao,35.2992,113.8851,0,5708191,35.0
Pudong,31.2231,121.5397,0,5681512,35.0
Xiangyang,32.0654,112.1531,0,5680000,35.0
Dallas,32.7935,-96.7667,0,5668165,
Houston,29.786,-95.3885,0,5650910,
Zhengzhou,34.7492,113.6605,0,5621593,35.0
Lu'an,31.7542,116.5078,0,5611701,35.0
Dezhou,37.4513,116.3105,0,5611194,35.0
Jinan,36.6667,116.9833,0,5606374,35.0
Giza,29.987,31.2118,0,5598402,47.0
Zhaotong,27.3328,103.7144,0,5591000,35.0
Yichun,27.8041,114.383,0,5573200,35.0
Nairobi,-1.2864,36.8172,1,5545000,75.0
Guadalajara,20.6767,-103.3475,0,5525000,91.0
Philadelphia,40.0077,-75.1339,0,5512873,
Ankara,39.93,32.85,1,5503985,139.0
Tai'an,36.2001,117.0809,0,5494207,35.0
Dazhou,31.2152,107.4947,0,5468097,35.0
Langfang,39.5196,116.7006,0,5464087,35.0
Yongzhou,26.4515,111.5953,0,5452100,35.0
Toronto,43.7417,-79.3733,0,5429524,32.0
Suihua,46.6384,126.9808,0,5418153,35.0
Saint petersburg,59.95,30.3167,0,5384342,113.0
Qiqihar,47.3398,123.9512,0,5367003,35.0
Suzhou,33.6333,116.9683,0,5352924,35.0
Monterrey,25.6667,-100.3,0,5341171,91.0
Belo horizonte,-19.9167,-43.9333,0,5328000,25.0
Weinan,34.4996,109.4684,0,5286077,35.0
Rangoon,16.795,96.16,1,5209541,95.0
Zhangzhou,24.5093,117.6612,0,5140000,35.0
Yuncheng,35.0304,110.998,0,5134779,35.0
Xianyang,34.35,108.7167,0,5096001,35.0
Guilin,25.2819,110.2864,0,5085500,35.0
Atlanta,33.7628,-84.422,0,5046555,
Taizhou,32.4831,119.9,0,5031000,35.0
Kashan,33.9833,51.4333,0,5000000,67.0
Bozhou,33.8626,115.7742,0,4996844,35.0
Abidjan,5.3167,-4.0333,1,4980000,
Suqian,33.9331,118.2831,0,4986192,35.0
Huaihua,27.5494,109.9592,0,4979600,35.0
Ji'an,27.1172,114.9793,0,4956600,35.0
Xiaoganzhan,30.9273,113.911,0,4921000,35.0
Pingdingshan,33.735,113.2999,0,4904701,35.0
Jiujiang,29.7048,116.0021,0,4896800,35.0
Alexandria,31.1975,29.8925,0,4870000,47.0
Mianyang,31.4669,104.7385,0,4868243,35.0
Sydney,-33.8678,151.21,0,4840600,11.0
Huanglongsi,34.795,114.345,0,4824016,35.0
Washington,38.9047,-77.0163,1,4810669,
Barcelona,41.3825,2.1769,0,4800000,
Changsha,28.1987,112.9709,0,4766296,35.0
Chenzhou,25.7989,113.0267,0,4744500,35.0
Anqing,30.5,117.0333,0,4723000,35.0
Jiangmen,22.5833,113.0833,0,4630300,35.0
Xinpu,34.5906,119.1801,0,4599360,35.0
Yibin,28.7596,104.64,0,4588804,35.0
Yangzhou,32.3912,119.4363,0,4559797,35.0
Melbourne,-37.8142,144.9631,0,4529500,11.0
Berlin,52.52,13.405,1,4473101,
Hengshui,37.7348,115.686,0,4472000,35.0
Timbio,2.3445,-76.6839,0,4444444,36.0
Kunming,25.0433,102.7061,0,4422686,35.0
Yiyang,28.5833,112.3333,0,4413800,35.0
Guigang,23.0961,109.6092,0,4409200,35.0
Changchun,43.9,125.2,0,4408154,35.0
Jiangguanchi,34.0244,113.8201,0,4379998,35.0
!casablanca,33.5333,-7.5833,0,4370000,93.0
Meizhou,24.2998,116.1191,0,4378800,35.0
Zhangjiakou,40.8108,114.8811,0,4345485,35.0
Chifeng,42.2663,118.9223,0,4341245,35.0
Urumqi,43.8225,87.6125,0,4335017,35.0
Suzhou,31.3,120.6194,0,4330000,35.0
Izmir,38.42,27.14,0,4320519,139.0
Linfen,36.0812,111.5087,0,4316610,35.0
Shantou,23.3735,116.6941,0,4312192,35.0
Kabul,34.5253,69.1783,1,4273156,1.0
Mogadishu,2.0392,45.3419,1,4249083,123.0
Luzhou,28.8918,105.4409,0,4218427,35.0
Hefei,31.8639,117.2808,0,4216940,35.0
Boston,42.3188,-71.0852,0,4208580,
Liuzhou,24.3264,109.4281,0,4157934,35.0
Zhaoqing,23.05,112.4667,0,4151700,35.0
Xiaoxita,30.7083,111.2803,0,4137900,35.0
Shijiazhuang,38.0422,114.5086,0,4098243,35.0
Ningbo,29.875,121.5492,0,4087523,35.0
Fuzhou,27.9814,116.3577,0,4047200,35.0
Phoenix,33.5722,-112.0892,0,4047095,
Zhuzhou,27.8407,113.1469,0,4020800,35.0
Amman,31.9497,35.9328,1,4007526,73.0
Chuzhou,32.3062,118.3115,0,3987054,35.0
Jeddah,21.5433,39.1728,0,3976000,117.0
Qingyuan,23.6842,113.0507,0,3969473,35.0
Loudi,27.7378,111.9974,0,3931800,35.0
Binzhou,37.3806,118.0125,0,3928568,35.0
Deyang,31.1289,104.395,0,3877000,35.0
Taiyuan,37.8733,112.5425,0,3875053,35.0
Kano,12.0,8.5167,0,3848885,99.0
Wuhu,31.334,118.3622,0,3842100,35.0
Nanning,22.8192,108.315,0,3837978,35.0
Harbin,45.75,126.6333,0,3830000,35.0
Abuja,9.0667,7.4833,1,3770000,99.0
Yokohama,35.4442,139.6381,0,3757630,72.0
Baojishi,34.3609,107.1751,0,3738700,35.0
Zaozhuang,34.8667,117.55,0,3729140,35.0
Xiamen,24.4797,118.0819,0,3707090,35.0
Neijiang,29.5872,105.0635,0,3702847,35.0
Fuzhou,26.0769,119.2917,0,3671192,35.0
Baicheng,23.901,106.6194,0,3669400,35.0
Anshan,41.1066,122.9895,0,3645884,35.0
Medan,3.5894,98.6739,0,3632000,66.0
Yulinshi,38.2655,109.7388,0,3634750,35.0
Wenzhou,27.9991,120.6561,0,3604446,35.0
Changzhou,31.8122,119.9692,0,3601079,35.0
Puyang,35.7639,115.03,0,3598740,35.0
Jiaozuo,35.229,113.2304,0,3590700,35.0
Nanchang,28.6842,115.8872,0,3576547,35.0
Ibadan,7.3964,3.9167,0,3552000,99.0
Hechi,24.6928,108.085,0,3545700,35.0
Detroit,42.3834,-83.1024,0,3522856,
Montreal,45.5089,-73.5617,0,3519595,32.0
Busan,35.18,129.075,0,3453198,125.0
Hohhot,40.8151,111.6629,0,3446100,35.0
Seattle,47.6211,-122.3244,0,3438221,
Algiers,36.7539,3.0589,1,3415811,3.0
Hanzhong,33.0794,107.026,0,3416196,35.0
Tangshan,39.6292,118.1742,0,3399231,35.0
Shiyan,32.6351,110.7755,0,3398000,35.0
Lucknow,26.85,80.95,0,3382000,
Siping,43.1715,124.3644,0,3385156,35.0
Mashhad,36.3,59.6,0,3372090,67.0
Boankra,6.6944,-1.4028,0,3348000,57.0
Changzhi,36.1953,113.097,0,3334565,35.0
Dubai,25.2631,55.2972,0,3331420,143.0
Qinzhou,21.95,108.6167,0,3304400,35.0
Guiyang,26.5794,106.7078,0,3299724,35.0
Bengbu,32.9354,117.3531,0,3296408,35.0
San francisco,37.7558,-122.4449,0,3290197,
Bazhou,31.8576,106.7559,0,3283148,35.0
Qincheng,34.5809,105.7311,0,3262549,35.0
Suining,30.5098,105.5737,0,3252619,35.0
Wuxi,31.5667,120.2833,0,3245179,35.0
Leshan,29.5854,103.7575,0,3235759,35.0
Putian,25.4394,119.0103,0,3210714,35.0
Zhenjiang,32.2109,119.4551,0,3210418,35.0
Faisalabad,31.4167,73.0911,0,3203846,104.0
Guang'an,30.4673,106.6336,0,3205476,35.0
Tongren,27.7233,109.1885,0,3168800,35.0
Santa cruz,-17.7892,-63.1975,0,3151676,22.0
Qinhuangdao,39.9398,119.5881,0,3146300,35.0
Tongliao,43.6172,122.264,0,3139153,35.0
Jinzhou,41.1144,121.1292,0,3126463,35.0
Heyuan,23.7503,114.6923,0,3093900,35.0
San diego,32.8313,-117.1222,0,3084174,
Jaipur,26.9,75.8,0,3073350,
Xinzhou,38.4178,112.7233,0,3067501,35.0
Lanzhou,36.0617,103.8318,0,3067141,35.0
Wuzhou,23.4833,111.3167,0,3061100,35.0
Athens,37.9842,23.7281,1,3041131,
Addis ababa,9.03,38.74,1,3041002,51.0
Chaoyang,41.5757,120.4486,0,3044641,35.0
Brasilia,-15.7939,-47.8828,1,3039444,25.0
Taichung,24.1439,120.6794,0,3033885,133.0
Kuwait city,29.3697,47.9783,1,3000000,76.0
Budapest,47.4925,19.0514,1,2997958,64.0
Shaoguan,24.8011,113.5927,0,2997600,35.0
Shanwei,22.7664,115.3331,0,2993600,35.0
Quezon city,14.63,121.03,0,2960048,109.0
Rizhao,35.4164,119.4331,0,2968365,35.0
Kyiv,50.45,30.5233,1,2963199,142.0
Sanaa,15.3483,44.2064,1,2957000,149.0
Meishan,30.0575,103.8381,0,2950545,35.0
Incheon,37.4833,126.6333,0,2936117,125.0
Guatemala city,14.6099,-90.5252,1,2934841,59.0
Birmingham,52.48,-1.9025,0,2919600,
Zhongshan,22.5333,113.35,0,2909633,35.0
Ningde,26.6617,119.5228,0,2910000,35.0
Weihai,37.5,122.1,0,2906548,35.0
Daqing,46.5979,125.008,0,2904532,35.0
Bursa,40.1833,29.05,0,2901396,139.0
Salvador,-12.9747,-38.4767,0,2886698,25.0
Rome,41.8931,12.4828,1,2872800,
Haikou,20.02,110.32,0,2873358,35.0
La paz,-16.5,-68.15,1,2867504,22.0
Xiangtan,27.8431,112.9228,0,2864800,35.0
Pyongyang,39.0194,125.7381,1,2863000,100.0
Minneapolis,44.9635,-93.2678,0,2856952,
Omdurman,15.65,32.4833,0,2805396,128.0
Malang,-7.98,112.62,0,2795209,66.0
Mudanjiang,44.5861,129.5997,0,2798723,35.0
Stuttgart,48.7775,9.18,0,2787724,
Brooklyn,40.6501,-73.9496,0,2736074,
Kaohsiung,22.615,120.2975,0,2733566,133.0
Guayaquil,-2.19,-79.8875,0,2723665,
Lisbon,38.7253,-9.15,1,2719000,
Longyan,25.0881,117.0244,0,2723637,35.0
Tieling,42.2841,123.8365,0,2717732,35.0
Manchester,53.4794,-2.2453,0,2705000,
Baotou,40.6562,109.8345,0,2709378,35.0
Handan,36.6116,114.4894,0,2708015,35.0
Cawnpore,26.4499,80.3319,0,2701324,
Dingxi,35.5806,104.6263,0,2698624,35.0
Nanping,26.6448,118.1728,0,2690000,35.0
Tampa,27.9945,-82.4447,0,2683956,
Zigong,29.3498,104.7645,0,2678899,35.0
Maracaibo,10.6333,-71.6333,0,2658355,147.0
Chaozhou,23.67,116.63,0,2656600,35.0
Mbuji-mayi,-6.15,23.6,0,2643000,43.0
Denver,39.762,-104.8758,0,2650725,
Gulou,26.0865,119.298,0,2606000,35.0
Weifang,36.7167,119.1,0,2636154,35.0
Huai'an,33.5058,119.1392,0,2632788,35.0
Zibo,36.7831,118.0497,0,2631647,35.0
Ankang,32.6877,109.0235,0,2629906,35.0
Baoshan,25.1211,99.169,0,2627000,35.0
Antananarivo,-18.9333,47.5167,1,2610000,85.0
Huludao,40.7094,120.8378,0,2623541,35.0
Munich,48.1375,11.575,0,2606021,
Yanjiang,30.1256,104.6397,0,2593843,35.0
Santo domingo,18.4764,-69.8933,1,2581827,46.0
Sanming,26.2658,117.6302,0,2580000,35.0
Tashkent,41.3111,69.2797,1,2571668,145.0
Longba,33.535,105.349,0,2567718,35.0
Yangjiang,21.8556,111.9627,0,2555600,35.0
Jiamusi,46.8081,130.3653,0,2552097,35.0
Luohe,33.583,114.0109,0,2544266,35.0
Lincang,23.8864,100.0871,0,2536000,35.0
Medellin,6.2308,-75.5906,0,2529403,36.0
Xuanzhou,30.9475,118.7518,0,2532938,35.0
Yunfu,22.9242,112.0353,0,2526900,35.0
Shaoxing,30.0,120.5833,0,2521964,35.0
Yantai,37.3997,121.2664,0,2511053,35.0
Huizhou,23.1115,114.4152,0,2509243,35.0
Lishui,28.45,119.9167,0,2507396,35.0
Mirzapur,25.146,82.569,0,2496970,
Hamburg,53.55,10.0,0,2484800,
Guangyuan,32.4353,105.8398,0,2484122,35.0
Cali,3.4206,-76.5222,0,2471474,36.0
Lusaka,-15.4167,28.2833,1,2467563,150.0
Huangshi,30.2018,115.0326,0,2471700,35.0
Xining,36.6239,101.7787,0,2467965,35.0
Ouagadougou,12.3686,-1.5275,1,2453496,
Daegu,35.8717,128.6017,0,2461002,125.0
Fortaleza,-3.7275,-38.5275,0,2452185,25.0
Yaounde,3.8667,11.5167,1,2440462,31.0
Jilin,43.8519,126.5481,0,2396000,35.0
Dandong,40.1167,124.3833,0,2444697,35.0
Zhuhai,22.2769,113.5678,0,2439585,35.0
Lianshan,40.7523,120.828,0,2426000,35.0
Yingkou,40.6653,122.2297,0,2428534,35.0
Antalya,36.8874,30.7075,0,2426356,139.0
Nagpur,21.1497,79.0806,0,2405665,
Queens,40.7498,-73.7976,0,2405464,
Accra,5.55,-0.2,1,2388000,57.0
Bekasi,-6.2349,106.9923,0,2381053,66.0
Ghaziabad,28.67,77.42,0,2375820,
Yuxi,24.3495,102.5432,0,2386000,35.0
Luoyang,34.6587,112.4245,0,2372571,35.0
Brisbane,-27.4678,153.0281,0,2360241,11.0
Anshun,26.2456,105.934,0,2353100,35.0
Depok,-6.394,106.8225,0,2330333,66.0
Shangzhou,33.868,109.9244,0,2341742,35.0
Huainan,32.4831,117.0164,0,2333896,35.0
Colombo,6.9344,79.8428,1,2323826,127.0
Kuaidamao,41.7302,125.9471,0,2324439,35.0
Baku,40.3667,49.8352,1,2300500,12.0
Fukuoka,33.5833,130.4,0,2286000,72.0
Yan'an,36.5952,109.4863,0,2282581,35.0
Jincheng,35.4906,112.8483,0,2279146,35.0
Vancouver,49.25,-123.1,0,2264823,32.0
Nantong,31.9829,120.8873,0,2261382,35.0
Tangerang,-6.1783,106.6319,0,2237006,66.0
Caracas,10.4806,-66.9036,1,2245744,147.0
Sanmenxia,34.7736,111.195,0,2234018,35.0
Laibin,23.7333,109.2333,0,2233900,35.0
Konya,37.8667,32.4833,0,2232374,139.0
Manaus,-3.1,-60.0167,0,2219580,25.0
Esfahan,32.6447,51.6675,0,2219343,67.0
Qinbaling,35.7278,107.64,0,2211191,35.0
Baltimore,39.3051,-76.6144,0,2205092,
Ma'anshan,31.6858,118.5101,0,2202899,35.0
Shengli,37.45,118.4667,0,2193518,35.0
Gaoping,30.7824,106.1281,0,2174000,35.0
Taizhou,28.6583,121.4221,0,2162461,35.0
Harare,-17.8292,31.0522,1,2150000,151.0
Kowloon,22.3167,114.1833,0,2108419,63.0
Las vegas,36.2333,-115.2654,0,2150373,
Havana,23.1367,-82.3589,1,2141652,40.0
Perth,-31.9559,115.8606,0,2141834,11.0
Phnom penh,11.5694,104.9211,1,2129371,30.0
Puning,23.2993,116.1586,0,2118200,35.0
Huaibei,33.9562,116.789,0,2114276,35.0
Qingyang,24.8141,118.5792,0,2111000,35.0
Haiphong,20.8651,106.6838,0,2103500,148.0
Chongzuo,22.4167,107.3667,0,2099400,35.0
Rawalpindi,33.6,73.0333,0,2098231,104.0
Yushan,31.3867,120.9766,0,2092496,35.0
St. louis,38.6359,-90.2451,0,2092481,
Kumasi,6.6667,-1.6167,0,2069350,57.0
Vadodara,22.3,73.2,0,2065771,
Hezhou,24.4164,111.5478,0,2072600,35.0
Pingliang,35.5412,106.6819,0,2068033,35.0
Portland,45.5371,-122.65,0,2036875,
Vishakhapatnam,17.7042,83.2978,0,2035922,
Gujranwala,32.1567,74.19,0,2027001,104.0
Baicheng,45.6148,122.832,0,2032356,35.0
Gaziantep,37.0628,37.3792,0,2028563,139.0
Fushun,41.8708,123.8917,0,2024000,35.0
Riverside,33.9381,-117.3949,0,2022285,
Bamako,12.6458,-7.9922,1,2009109,
Quito,-0.22,-78.5125,1,2011388,
Minsk,53.9,27.5667,1,2009786,17.0
Tijuana,32.525,-117.0333,0,2002000,91.0
Bamenda,5.9614,10.1517,0,2000000,31.0
Boosaaso,11.2886,49.1819,0,2000000,123.0
Indore,22.7167,75.8472,0,1994397,
Sanliurfa,37.1583,38.7917,0,1985753,139.0
Vienna,48.2083,16.3725,1,1973403,
Karaj,35.8272,50.9489,0,1973470,67.0
Kananga,-5.897,22.4488,0,1971704,43.0
Peshawar,34.0144,71.5675,0,1970042,104.0
Sapporo,43.0667,141.35,0,1961690,72.0
Ecatepec,19.6097,-99.06,0,1929926,91.0
Pingxiang,27.6333,113.85,0,1933200,35.0
Orlando,28.4773,-81.337,0,1927699,
Aleppo,36.2,37.16,0,1916781,132.0
Sacramento,38.5677,-121.4685,0,1924167,
Almaty,43.2775,76.8958,0,1916822,74.0
San juan,18.3985,-66.061,1,1915105,
San antonio,29.4632,-98.5238,0,1910785,
Yinchuan,38.4795,106.2254,0,1901793,35.0
Thane,19.1972,72.9722,0,1886941,
Santos,-23.9369,-46.325,0,1897551,25.0
Blantyre,-15.7861,35.0058,0,1895973,86.0
Bucharest,44.4325,26.1039,1,1883425,112.0
Curitiba,-25.4297,-49.2711,0,1879355,25.0
Multan,30.1978,71.4697,0,1871843,104.0
Tainan,22.9833,120.1833,0,1874686,133.0
Xiping,40.082,113.2981,0,1873000,35.0
Port harcourt,4.8242,7.0336,0,1865000,99.0
Warsaw,52.23,21.0111,1,1860281,110.0
Jixi,45.2937,130.965,0,1862165,35.0
Saidu sharif,34.75,72.3572,0,1860310,104.0
Liaoyang,41.2643,123.1772,0,1858768,35.0
Beihai,21.4667,109.1,0,1853227,35.0
Meru,0.05,37.65,0,1833000,75.0
Brazzaville,-4.2694,15.2714,1,1827000,
Fuxin,42.0127,121.6486,0,1819339,35.0
Wuwei,37.9278,102.6329,0,1815059,35.0
Mersin,36.8,34.6333,0,1814468,139.0
Bhopal,23.25,77.4167,0,1798218,
Lubumbashi,-11.6647,27.4794,0,1786397,43.0
Denpasar,-8.65,115.2167,0,1779122,66.0
Davao,7.0667,125.6,0,1776949,109.0
Shuyangzha,34.1299,118.7734,0,1770000,35.0
Adana,37.0,35.3213,0,1765981,139.0
Damascus,33.5131,36.2919,1,1754000,132.0
Brussels,50.8467,4.3525,1,1743000,
Hyderabad city,25.3792,68.3683,0,1732693,104.0
Diyarbakir,37.91,40.24,0,1732396,139.0
San jose,37.3012,-121.848,0,1729879,
Chinchvad,18.6186,73.8037,0,1729320,
Montevideo,-34.8836,-56.1819,1,1719453,144.0
Pittsburgh,40.4397,-79.9763,0,1720279,
Shuozhou,39.3408,112.4292,0,1714857,35.0
Cincinnati,39.1413,-84.506,0,1712287,
Benxi,41.292,123.761,0,1709538,35.0
Baiyin,36.5448,104.1766,0,1708751,35.0
Mosul,36.34,43.13,0,1694000,68.0
Manhattan,40.7834,-73.9662,0,1694263,
Caloocan city,14.65,120.97,0,1661584,109.0
Kampala,0.3136,32.5811,1,1680600,141.0
Patna,25.6,85.1,0,1684222,
Tegucigalpa,14.1,-87.2167,1,1682725,62.0
Cleveland,41.4764,-81.6805,0,1683059,
Sanzhou,30.82,108.4,0,1680000,35.0
Changshu,31.65,120.7333,0,1677050,35.0
Mecca,21.4225,39.8233,0,1675368,117.0
Heihe,50.2458,127.4886,0,1673899,35.0
Jingdezhen,29.2942,117.2036,0,1673200,35.0
Conakry,9.5092,-13.7122,1,1667864,60.0
Recife,-8.05,-34.9,0,1653461,25.0
Indianapolis,39.7771,-86.1458,0,1659305,
Austin,30.3005,-97.7522,0,1659251,
Sangereng,-6.2889,106.7181,0,1644899,66.0
Kansas city,39.1238,-94.5541,0,1644497,
Zhongli,24.965,121.2168,0,1632616,133.0
Novosibirsk,55.0333,82.9167,0,1625631,113.0
Bilaspur,22.09,82.15,0,1625502,
Semarang,-6.9667,110.4167,0,1621384,66.0
Ludhiana,30.91,75.85,0,1618879,
Narayanganj,23.62,90.5,0,1572386,15.0
Stockholm,59.3294,18.0686,1,1611776,130.0
Chengtangcun,35.0833,117.15,0,1603659,35.0
Agra,27.18,78.02,0,1585704,
Balandougou,13.3558,-9.5517,0,1596882,
Agwar,27.18,78.02,0,1585705,
Leon de los aldama,21.1167,-101.6833,0,1579803,91.0
Yopougon,5.3167,-4.0667,0,1571065,
Puebla,19.0333,-98.1833,0,1576259,91.0
Madurai,9.9252,78.1198,0,1561129,
Hebi,35.7497,114.2887,0,1569208,35.0
Cordoba,-31.4167,-64.1833,0,1565112,8.0
Shiraz,29.61,52.5425,0,1565572,67.0
Jamshedpur,22.7925,86.1842,0,1558000,
Tabriz,38.0814,46.3006,0,1558693,67.0
Huzhou,30.8925,120.0875,0,1558826,35.0
Columbus,39.9862,-82.9855,0,1556848,
Sofia,42.7,23.33,1,1547779,27.0
Kawasaki,35.5167,139.7,0,1539522,72.0
San jose,9.9325,-84.08,1,1543000,39.0
Aba,5.1167,7.3667,0,1530000,99.0
Palembang,-2.9861,104.7556,0,1535952,66.0
Zhangjiajie,29.1255,110.4844,0,1537900,35.0
Kobe,34.69,135.1956,0,1521707,72.0
Jiaxing,30.7522,120.75,0,1518654,35.0
Charlotte,35.2083,-80.8303,0,1516107,
Guiping,23.4,110.0833,0,1511011,35.0
Lianjiang,21.6146,110.2794,0,1509400,35.0
Ximeicun,24.9633,118.3811,0,1508000,35.0
Jianguang,28.1958,115.7833,0,1507402,35.0
Yucheng,29.9888,103.0007,0,1507258,35.0
Panama city,8.9833,-79.5167,1,1500189,105.0
Xushan,30.1697,121.2665,0,1502000,35.0
Belem,-1.4558,-48.5039,0,1499641,25.0
Virginia beach,36.7335,-76.0435,0,1500764,
Leizhou,20.9147,110.0806,0,1494700,35.0
Gwangju,35.1653,126.8486,0,1490092,125.0
Nasik,20.0,73.78,0,1486053,
Porto alegre,-30.0331,-51.23,0,1484941,25.0
Valencia,10.1667,-68.0,0,1484430,147.0
Onitsha,6.1667,6.7833,0,1483000,99.0
Abu dhabi,24.4667,54.3667,1,1483000,143.0
Daejeon,36.351,127.385,0,1475221,125.0
Zapopan,20.7167,-103.4,0,1476491,91.0
Bronx,40.8501,-73.8662,0,1472654,
Yekaterinburg,56.8356,60.6128,0,1468833,113.0
Huazhou,32.6832,112.079,0,1468061,35.0
Kyoto,35.0117,135.7683,0,1464890,72.0
Jinhua,29.1046,119.6494,0,1463990,35.0
Amsterdam,52.3728,4.8936,1,1459402,
Shuangyashan,46.6388,131.1545,0,1462626,35.0
Pizhou,34.3422,118.0097,0,1458038,35.0
El kelaa des srarhna,32.0481,-7.4083,0,1450021,93.0
Dakar,14.6928,-17.4467,1,1438725,
Kharkiv,49.9925,36.2311,0,1446107,142.0
Yangshe,31.8775,120.5512,0,1432044,35.0
Guyuan,36.008,106.2782,0,1426000,35.0
Rui'an,27.778,120.6526,0,1424667,35.0
Khulna,22.8167,89.55,0,1400689,15.0
Muscat,23.6139,58.5922,1,1421409,103.0
Wenling,28.3797,121.3718,0,1416199,35.0
Gaozhou,21.9135,110.8481,0,1414100,35.0
Faridabad,28.4167,77.3,0,1404653,
